fpr,tpr,t,auc
0.0,0.0,inf,0.8193105421180819
0.0,0.009130658436213992,1.0,0.8193105421180819
0.0,0.01787551440329218,0.9891304347826086,0.8193105421180819
0.00032653061224489796,0.02726337448559671,0.9782608695652174,0.8193105421180819
0.0004897959183673469,0.04295267489711934,0.967391304347826,0.8193105421180819
0.0014693877551020407,0.06378600823045268,0.9565217391304348,0.8193105421180819
0.0032653061224489797,0.08796296296296297,0.9456521739130435,0.8193105421180819
0.004571428571428572,0.11265432098765432,0.9347826086956522,0.8193105421180819
0.004571428571428572,0.11278292181069959,0.9261753933305092,0.8193105421180819
0.007020408163265306,0.1408179012345679,0.9239130434782609,0.8193105421180819
0.010612244897959184,0.17309670781893005,0.9130434782608695,0.8193105421180819
0.016,0.21193415637860083,0.9021739130434783,0.8193105421180819
0.021877551020408163,0.2501286008230453,0.8913043478260869,0.8193105421180819
0.03151020408163265,0.2915380658436214,0.8804347826086957,0.8193105421180819
0.04244897959183674,0.3378343621399177,0.8695652173913043,0.8193105421180819
0.054857142857142854,0.3819444444444444,0.8586956521739131,0.8193105421180819
0.054857142857142854,0.382201646090535,0.8500884368087701,0.8193105421180819
0.06791836734693878,0.4229681069958848,0.8478260869565217,0.8193105421180819
0.08277551020408164,0.46334876543209874,0.8369565217391305,0.8193105421180819
0.09714285714285714,0.503858024691358,0.8260869565217391,0.8193105421180819
0.0973061224489796,0.503858024691358,0.8170058660118905,0.8193105421180819
0.11461224489795918,0.5402520576131687,0.8152173913043478,0.8193105421180819
0.13142857142857142,0.5792181069958847,0.8043478260869565,0.8193105421180819
0.1516734693877551,0.6140689300411523,0.7934782608695652,0.8193105421180819
0.1516734693877551,0.6141975308641975,0.7848710455044222,0.8193105421180819
0.17273469387755103,0.6473765432098766,0.782608695652174,0.8193105421180819
0.17273469387755103,0.6475051440329218,0.7765313227326958,0.8193105421180819
0.19526530612244897,0.6799125514403292,0.7717391304347826,0.8193105421180819
0.19542857142857142,0.6799125514403292,0.7642323769743989,0.8193105421180819
0.19542857142857142,0.6800411522633745,0.7631319150696396,0.8193105421180819
0.21844897959183673,0.7088477366255144,0.7608695652173914,0.8193105421180819
0.24342857142857144,0.7336676954732511,0.75,0.8193105421180819
0.26710204081632655,0.7561728395061729,0.7391304347826086,0.8193105421180819
0.2886530612244898,0.7766203703703703,0.7282608695652174,0.8193105421180819
0.31118367346938774,0.7983539094650206,0.717391304347826,0.8193105421180819
0.31134693877551023,0.7983539094650206,0.7095953944595425,0.8193105421180819
0.3330612244897959,0.8150720164609053,0.7065217391304348,0.8193105421180819
0.3586938775510204,0.833204732510288,0.6956521739130435,0.8193105421180819
0.38155102040816324,0.8464506172839507,0.6847826086956522,0.8193105421180819
0.4022857142857143,0.8594393004115226,0.6739130434782609,0.8193105421180819
0.4271020408163265,0.8702417695473251,0.6630434782608695,0.8193105421180819
0.45012244897959186,0.880272633744856,0.6521739130434783,0.8193105421180819
0.45012244897959186,0.8804012345679012,0.6479560976907552,0.8193105421180819
0.4502857142857143,0.8804012345679012,0.6427850312586039,0.8193105421180819
0.47330612244897957,0.8919753086419753,0.6413043478260869,0.8193105421180819
0.4995918367346939,0.9012345679012346,0.6304347826086957,0.8193105421180819
0.4997551020408163,0.9012345679012346,0.6218275672435527,0.8193105421180819
0.5204897959183673,0.9106224279835391,0.6195652173913043,0.8193105421180819
0.542530612244898,0.9161522633744856,0.6086956521739131,0.8193105421180819
0.5640816326530612,0.9218106995884774,0.5978260869565217,0.8193105421180819
0.5892244897959183,0.9278549382716049,0.5869565217391305,0.8193105421180819
0.5893877551020408,0.9278549382716049,0.5783493063739875,0.8193105421180819
0.6114285714285714,0.9346707818930041,0.5760869565217391,0.8193105421180819
0.6326530612244898,0.9399434156378601,0.5652173913043478,0.8193105421180819
0.6586122448979592,0.9454732510288066,0.5543478260869565,0.8193105421180819
0.6587755102040816,0.9454732510288066,0.5449589443020821,0.8193105421180819
0.6821224489795918,0.9495884773662552,0.5434782608695652,0.8193105421180819
0.7044897959183674,0.9558899176954733,0.532608695652174,0.8193105421180819
0.7260408163265306,0.9605195473251029,0.5217391304347826,0.8193105421180819
0.746938775510204,0.9636059670781894,0.5108695652173914,0.8193105421180819
0.7655510204081633,0.9660493827160493,0.5,0.8193105421180819
0.7828571428571428,0.9691358024691358,0.4891304347826087,0.8193105421180819
0.7993469387755102,0.9717078189300411,0.4782608695652174,0.8193105421180819
0.8130612244897959,0.9745370370370371,0.4673913043478261,0.8193105421180819
0.8300408163265306,0.9765946502057613,0.45652173913043476,0.8193105421180819
0.8447346938775511,0.9781378600823045,0.44565217391304346,0.8193105421180819
0.856,0.9796810699588477,0.43478260869565216,0.8193105421180819
0.8692244897959184,0.9821244855967078,0.42391304347826086,0.8193105421180819
0.8811428571428571,0.9840534979423868,0.41304347826086957,0.8193105421180819
0.8915918367346939,0.98559670781893,0.40217391304347827,0.8193105421180819
0.8917551020408163,0.98559670781893,0.3927850312586039,0.8193105421180819
0.9020408163265307,0.987525720164609,0.391304347826087,0.8193105421180819
0.910530612244898,0.9890689300411523,0.3804347826086957,0.8193105421180819
0.9182040816326531,0.9899691358024691,0.3695652173913043,0.8193105421180819
0.9258775510204081,0.9903549382716049,0.358695652173913,0.8193105421180819
0.9340408163265306,0.9911265432098766,0.34782608695652173,0.8193105421180819
0.9436734693877551,0.9920267489711934,0.33695652173913043,0.8193105421180819
0.9482448979591837,0.9935699588477366,0.32608695652173914,0.8193105421180819
0.9529795918367346,0.9944701646090535,0.31521739130434784,0.8193105421180819
0.9583673469387755,0.9951131687242798,0.30434782608695654,0.8193105421180819
0.9631020408163266,0.9957561728395061,0.29347826086956524,0.8193105421180819
0.9675102040816327,0.9962705761316872,0.2826086956521739,0.8193105421180819
0.9706122448979592,0.9969135802469136,0.2717391304347826,0.8193105421180819
0.9750204081632653,0.9971707818930041,0.2608695652173913,0.8193105421180819
0.9777959183673469,0.9979423868312757,0.25,0.8193105421180819
0.980734693877551,0.9981995884773662,0.2391304347826087,0.8193105421180819
0.9830204081632653,0.998585390946502,0.22826086956521738,0.8193105421180819
0.9862857142857143,0.9988425925925926,0.20652173913043478,0.8193105421180819
0.9888979591836735,0.9992283950617284,0.1956521739130435,0.8193105421180819
0.9903673469387755,0.9996141975308642,0.18478260869565216,0.8193105421180819
0.9921632653061224,0.9998713991769548,0.17391304347826086,0.8193105421180819
0.9934693877551021,0.9998713991769548,0.16304347826086957,0.8193105421180819
0.9946122448979592,0.9998713991769548,0.15217391304347827,0.8193105421180819
0.9955918367346939,1.0,0.14130434782608695,0.8193105421180819
0.996734693877551,1.0,0.13043478260869565,0.8193105421180819
0.9977142857142857,1.0,0.11956521739130435,0.8193105421180819
0.9980408163265306,1.0,0.10869565217391304,0.8193105421180819
0.9985306122448979,1.0,0.09782608695652174,0.8193105421180819
0.9986938775510205,1.0,0.08695652173913043,0.8193105421180819
0.9995102040816326,1.0,0.07608695652173914,0.8193105421180819
1.0,1.0,0.06521739130434782,0.8193105421180819
